dataset,distance,tps_mode,stretch,constraint,normalize,first_tier,second_tier
merge,tpsd,offset,,,False,0.5795940170940171,0.6663614163614162
merge,tpsd,profile,,,False,0.6881868131868132,0.801358363858364
merge,dtw,offset,stretch,,False,0.6575854700854701,0.7628205128205128
merge,dtw,profile,stretch,,False,0.7126068376068376,0.778846153846154
merge,dtw,offset,no-stretch,,False,0.5678418803418804,0.6436965811965809
merge,dtw,profile,no-stretch,,False,0.6602564102564104,0.7222222222222223
merge,dtw,offset,stretch,sakoe_chiba,False,0.7217643467643465,0.7914377289377288
merge,dtw,profile,stretch,sakoe_chiba,False,0.7738095238095237,0.8386752136752136
merge,dtw,offset,stretch,itakura,False,0.6752136752136753,0.753205128205128
merge,dtw,profile,stretch,itakura,False,0.71741452991453,0.7820512820512819
merge,dtw,offset,no-stretch,sakoe_chiba,False,0.4791666666666667,0.5438034188034188
merge,dtw,profile,no-stretch,sakoe_chiba,False,0.6287393162393162,0.6891025641025641
merge,dtw,offset,stretch,sakoe_chiba,normalize,0.7714438339438338,0.8165445665445664
merge,dtw,profile,stretch,sakoe_chiba,normalize,0.7866300366300364,0.829594017094017
merge,lcss,offset,,sakoe_chiba,False,0.13713369963369962,0.23778998778998778
merge,lcss,offset,,itakura,False,0.3122710622710622,0.407051282051282
merge,sdtw,offset,stretch,,False,0.6672008547008547,0.7740384615384613
merge,sdtw,profile,stretch,,False,0.7302350427350429,0.8103632478632478
merge,sdtw,offset,stretch,sakoe_chiba,False,0.6672008547008547,0.7740384615384613
merge,sdtw,profile,stretch,sakoe_chiba,False,0.7302350427350429,0.8103632478632478
merge,sdtw,offset,no-stretch,sakoe_chiba,False,0.6148504273504274,0.6976495726495725
merge,sdtw,offset,stretch,itakura,False,0.6672008547008547,0.7740384615384613
